chr	from	to
1	210932	1143866
1	1254909	1634008
1	9327413	9681108
1	17301381	20019284
1	20153661	21171068
1	24859008	28599031
1	28926896	29506826
1	33413502	33988581
1	38956518	43817262
1	44400326	44934973
1	48471345	49610136
1	49751609	50116654
1	50116747	50503563
1	50503719	51732275
1	52870666	53664578
1	53664584	54036752
1	54036757	54288007
1	54978793	55238510
1	55469166	55708488
1	55708570	56225239
1	57356171	58400507
1	58570122	59957038
1	61857732	62250224
1	62250264	62746610
1	62920557	63315977
1	64202253	64865547
1	68068130	69658697
1	71894789	72562341
1	73102003	73713068
1	86545810	91867220
1	91867277	92950154
1	93208499	93707735
1	94251942	96377907
1	111494742	111854542
1	112761040	115393255
1	115775642	116215682
1	124350700	124779524
1	128923920	129431764
1	130435385	130860865
1	132811027	133332270
1	134056232	134396611
1	138974915	145620693
1	152568347	153187853
1	153328932	156058698
1	159585415	159947263
1	160612858	161372712
1	166836186	167391498
1	172218357	172860510
1	172860549	173399036
1	190167466	190502302
1	192804511	193618468
1	205603924	206475706
2	54663	3606480
2	4735568	6229180
2	21033250	21893691
2	28846713	29359012
2	30555295	30812796
2	49363148	49854831
2	52655693	53147930
2	86956935	87482757
2	88458490	89248282
2	122201212	122748791
2	127970362	128639543
2	128824041	130418703
2	132261923	132946003
2	132946064	133837634
2	137276153	137855952
2	147015973	147393893
2	154864492	155913013
2	156056398	157694183
2	158966177	164591790
2	165432661	165900266
2	190255380	192704791
2	193679915	194217485
2	194217779	196257113
2	196764336	198552441
2	200940391	201360775
2	208932431	209269182
2	216366250	216904976
2	223040220	223549977
2	234680727	235033697
3	376189	1926202
3	5120218	5357481
3	12266870	12634203
3	15510865	16103659
3	16463296	16674753
3	16674755	16911001
3	16965595	17056995
3	18110325	18740710
3	18740726	19025405
3	19109389	19295600
3	19295615	19738533
3	23680991	24008871
3	37531660	37983837
3	56374190	56790074
3	57585495	58371621
3	59098543	59514014
3	59514044	60210446
3	69449413	70599116
3	73337143	73682738
3	78090783	79121199
3	96947440	98368458
3	108399596	109602706
3	110016516	110804340
3	110804582	111400862
3	111401880	112012060
3	120149325	121592743
3	125306455	127037733
3	127767055	128258841
4	2295091	3705039
4	10646576	11536167
4	14029862	14441685
4	19886688	20765655
4	21666446	22301316
4	33631940	34094530
4	36201999	36701486
4	55183873	55824574
4	60443174	61019556
4	65957229	66546837
4	70781193	71639261
4	74588155	74888758
4	89414328	89736766
4	107763825	108353742
4	114430327	114898099
4	116630172	117056594
4	120221314	122122410
4	122374930	123011445
4	124276777	125350117
4	125588474	126642515
4	133636261	133991714
5	104447	930361
5	1294501	1957752
5	19542972	20304742
5	35911450	36558778
5	40173421	40579412
5	40798830	41287811
5	51711224	52167023
5	56731943	59686177
5	66499120	66961812
5	82517715	83119186
5	85329337	85821998
5	86016720	86443661
5	92291311	93550353
5	99932917	100997699
5	101746742	102217265
5	102789163	103490136
5	117932992	119179602
6	4906511	5154542
6	10762800	11238803
6	11238805	12092909
6	20331977	22126507
6	49547411	50048653
6	63698396	64005303
6	75622701	78632500
6	82709362	83350436
6	96565846	97472820
6	101048772	102049312
6	103400351	103716057
6	103716099	107178246
6	107522392	108058819
6	110018644	111135838
6	111803555	113208247
6	113208620	113840217
6	113840226	115318223
7	264994	2225549
7	2312752	2890538
7	7027812	7604096
7	8163217	9339759
7	10011145	10328829
7	10809336	11497322
7	13170536	13608208
7	13690615	14036752
7	14167406	14862855
7	14862870	20337518
7	27421458	27694958
7	47325997	47700195
7	48167443	48426907
7	51945740	52519450
7	66035100	66470499
7	75025540	76846403
7	76852095	77287590
7	86686128	87455721
7	87753253	88282046
7	105153278	105788477
8	181867	748454
8	11207911	12162797
8	13763064	14441210
8	14441348	14891221
8	17266164	17713658
8	26666034	27237571
8	28925214	30763698
8	32389426	34550905
8	34937168	35345483
8	50756778	51415647
8	58968800	59445434
8	98679312	99602659
8	101295022	101547700
9	759980	1238758
9	1238760	2076768
9	3434703	4473760
9	4625624	4858958
9	6291996	6935314
9	7159608	8669724
9	8883939	11785004
9	12436008	12487080
9	30053889	30394999
9	35083002	35408926
9	35408988	35741953
9	57999272	58697722
9	71140349	72002120
9	76108944	78058683
9	79246869	79571108
9	84485196	86131463
9	88554474	89144505
10	315015	1735019
10	12252274	12616147
10	12616300	13523678
10	31877643	32286924
10	34790266	35298535
10	44431281	44631249
10	44844200	45548775
10	56142505	57024107
10	60109462	60645393
10	61241070	62218527
10	82629002	83017544
10	84943150	85552387
10	87626155	88055564
10	88055677	88620330
10	92888433	93162021
10	104997112	105714352
11	34048572	34415987
11	38599407	40409119
11	43281645	43775868
11	43978728	44465571
11	45988200	46676877
11	48107115	48443172
11	56563362	57377589
11	57613220	58341107
11	60329349	61132691
11	67491832	68100460
11	81429278	82283199
11	85256774	85617840
11	85656399	86948981
11	89782712	90274745
12	50936	1222894
12	1864734	2282247
12	2942606	4752874
12	4752877	5841529
12	10598474	11262479
12	18543312	19198303
12	19396019	22486235
12	31101190	31511694
12	35026644	36492370
12	49212029	50000805
13	13175497	13714176
13	21695935	21996515
13	22673203	22910106
13	33481550	34758800
13	89490629	89931887
13	89983060	90644819
13	91367415	91811916
13	100217371	100649289
14	480106	1012524
14	1012992	1203971
14	1451545	2038202
14	5604961	6061394
14	6061398	6530271
14	6530406	6850290
