chr	from	to
1	210932	1915094
1	9327413	9681108
1	17301381	19851513
1	20153661	21171068
1	24859008	28599031
1	28926896	29506826
1	33413502	33988581
1	38956518	43817262
1	44400326	44934973
1	48471345	49610136
1	49945032	50503563
1	50503719	51967889
1	52870666	54036752
1	54036757	54288007
1	54886912	55238510
1	55469166	55708488
1	55708570	56225239
1	57356171	58193099
1	58570122	59957038
1	61857732	62250224
1	64202253	64865547
1	65239103	65499058
1	68068130	69658697
1	71894789	72562341
1	73713252	74443393
1	86545810	87600910
1	88086594	90418853
1	90419223	91867220
1	91867277	92950154
1	93208499	93707735
1	93708442	94251917
1	94795365	96377907
1	111494742	111854542
1	112761040	115235334
1	138974915	145620693
1	152568347	152939183
1	153328932	155746030
1	159437997	159947263
1	160612858	161372712
1	166836186	167391498
1	172218357	172757125
1	173018278	173399036
1	190167466	190502302
1	192804511	193336069
1	205603924	206475706
2	54663	3071388
2	4864334	6012657
2	21033250	21893691
2	27837682	28204608
2	28846713	29359012
2	49363148	49854831
2	52680556	53147930
2	76776070	77237029
2	86956935	87482757
2	88458490	89248282
2	115330551	115734782
2	122201212	122748791
2	128824041	130418703
2	132261923	132946003
2	132946064	133837634
2	137276153	137855952
2	147015973	147393893
2	154864492	155093086
2	155093090	155758784
2	156056398	157694183
2	158966177	164591790
2	165432661	165900266
2	190255380	191434362
2	191434363	192704791
2	194217779	196257113
2	196764336	198552441
2	200940391	201360775
2	201810238	202193859
2	208932431	209269182
2	216366250	216904976
2	223040220	223549977
2	234680727	235033697
3	376189	1926202
3	5120218	5357481
3	15510865	16103659
3	16386635	16674753
3	16674755	16911001
3	16965595	17056995
3	17056996	17133885
3	18110325	18740710
3	18740726	19025405
3	19109389	19295600
3	37531660	37983837
3	49438056	49823974
3	55455439	55866134
3	56374190	56790074
3	59514044	60210446
3	69449413	70599116
3	73337143	73682738
3	78090783	78691029
3	96947440	98368458
3	108399596	109602706
3	110016516	110804340
3	110804582	111400862
3	111401880	112012060
3	114353571	114509126
3	120149325	121592743
3	125552758	127037733
3	127767055	128258841
4	2295091	3553591
4	10388063	11536167
4	14029862	14441685
4	19886688	20389012
4	21863119	22301316
4	36201999	36701486
4	55183873	55824574
4	60443174	61019556
4	70781193	71639261
4	74588155	74888758
4	97070127	97501529
4	107763825	108353742
4	120221314	122122410
4	122122538	123011445
4	124276777	125350117
4	125588474	126642515
5	104447	930361
5	1294501	1957752
5	19542972	20304742
5	35911450	36558778
5	40173421	40579412
5	40798830	41287811
5	44050307	44403104
5	51711224	51969572
5	56731943	59686177
5	66499120	66961812
5	77218880	77490998
5	82517715	82935949
5	86016720	86443661
5	92487225	93329577
5	99190238	99522169
5	99932917	100997699
5	117932992	119179602
6	10505086	11514594
6	11514645	12092909
6	20331977	22126507
6	49547411	50048653
6	75622701	78206213
6	82709362	83350436
6	96565846	97472820
6	101048772	102049312
6	103400351	103716057
6	103768281	104312897
6	104313238	104787449
6	105334022	106826793
6	113433992	115156696
7	264994	2225549
7	2312752	6716242
7	6716244	7800546
7	8163217	9339759
7	10011145	10328829
7	13170536	13512575
7	13512933	14036752
7	14167406	14862855
7	14862870	15382426
7	15382696	20337518
7	27421458	27694958
7	47325997	47700195
7	48167443	48426907
7	66035100	66470499
7	75025540	76846403
7	86686128	87455721
7	87753253	88282046
7	105153278	105788477
8	181867	748454
8	3697745	4091311
8	11207911	12162797
8	13763064	14441210
8	14441348	14891221
8	17266164	17713658
8	26666034	27237571
8	28925214	30763698
8	32389426	34550905
8	34937168	35345483
8	50756778	51415647
8	58968800	59445434
8	98679312	99602659
8	101295022	101547700
9	759980	1238758
9	1238760	2076768
9	3434703	4473760
9	6291996	6935314
9	7159608	8669724
9	8883939	11785004
9	12436008	12487080
9	30053889	30394999
9	57999272	58697722
9	76108944	78058683
9	84736698	86131463
9	88554474	89144505
10	315015	1735019
10	12252274	12616147
10	44844200	45548775
10	56142505	57024107
10	60109462	60645393
10	61241070	62218527
10	87626155	87745552
10	104997112	105714352
11	38599407	40409119
11	43281645	43634133
11	43978728	44465571
11	45988200	46676877
11	48107115	48443172
11	56563362	57377589
11	57613220	58341107
11	60329349	61132691
11	67491832	68100460
11	81429278	82283199
11	85454330	85617840
11	89782712	90274745
12	50936	1222894
12	1864734	2282247
12	3167757	4130912
12	4130914	4752874
12	4752877	5841529
12	10598474	11262479
12	19540660	20295905
12	20296065	22295931
12	31101190	31511694
12	35026644	36492370
12	49212029	50000805
13	13175497	13714176
13	33481550	34301819
13	34301886	34758800
13	89490629	89931887
13	89983060	90644819
13	91367415	91811916
14	480106	1203971
14	1451545	2718792
14	5604961	6530271
14	6654855	6850290
14	15515255	16035182
14	16035250	16617356
14	21505794	22060791
14	22409015	22669148
14	22977385	23334817
14	40633914	41055315
