chr	from	to
1	210932	1915094
1	17301381	19851513
1	20153661	21171068
1	21654277	21875329
1	24859008	28599031
1	28926896	29506826
1	33413502	33988581
1	38956518	43817262
1	44400326	44934973
1	48471345	49610136
1	49751609	50503563
1	50503719	51967889
1	51968088	52700155
1	52870666	54036752
1	54036757	54419511
1	54886912	55389748
1	55469166	55708488
1	55708570	56225239
1	56752995	57069541
1	57356171	58400507
1	58570122	59957038
1	61857732	62250224
1	62250264	62746610
1	62920557	63315977
1	64202253	64865547
1	65239103	65499058
1	68068130	69658697
1	71894789	72562341
1	72818198	73424702
1	74443876	74957076
1	86545810	87600910
1	87600928	91867220
1	91867277	92950154
1	93208499	96377907
1	111494742	111854542
1	112761040	115393255
1	115775642	116215682
1	132811027	133332270
1	134056232	134396611
1	138795911	139167859
1	139167952	145620693
1	152568347	153187853
1	153328932	156058698
1	159585415	159947263
1	160612858	161372712
1	166836186	167391498
1	172218357	172757125
1	173018278	173399036
1	181988199	182736363
1	190167466	190502302
1	192804511	193336069
1	205603924	206192584
2	54663	3071388
2	4735568	6012657
2	21200045	21680540
2	28846713	29359012
2	37932657	38505504
2	49363148	49732072
2	52655693	53147930
2	86956935	87482757
2	88458490	89248282
2	122201212	122748791
2	128824041	130418703
2	132261923	132946003
2	132946064	133837634
2	137276153	137855952
2	147015973	147570193
2	154864492	155913013
2	156056398	157694183
2	158966177	159415703
2	159415928	163259727
2	163259756	164591790
2	165432661	165900266
2	190255380	192704791
2	194217779	196257113
2	196764336	198359076
2	200940391	201360775
2	201810238	202193859
2	208932431	209402884
2	216366250	216904976
2	223040220	223549977
2	248414205	248604986
3	376189	1926202
3	3749902	4338486
3	5120218	5357481
3	14093901	14495901
3	14496120	16103659
3	16463296	16911001
3	16965595	17190735
3	17631420	18110324
3	18110325	18666680
3	18740726	19025405
3	19109389	19295600
3	19295615	19738533
3	23680991	24008871
3	37531660	37983837
3	49438056	49823974
3	56374190	56790074
3	57106676	57892294
3	59514044	60210446
3	69449413	70599116
3	73337143	73682738
3	78090783	79121199
3	96947440	98368458
3	108921687	109602706
3	110257579	110804340
3	110804582	111400862
3	111401880	112012060
3	114353571	114509126
3	120149325	121592743
3	125306455	127037733
3	127767055	128258841
4	2295091	3705039
4	6509639	7157165
4	10388063	11536167
4	21863119	22301316
4	36201999	36701486
4	51731458	52293145
4	65957229	66546837
4	68531146	69126262
4	70781193	71639261
4	74588155	74888758
4	79480537	79844163
4	89414328	89736766
4	90951779	91348521
4	107763825	108353742
4	116630172	117056594
4	120221314	122122410
4	122122538	123011445
4	124276777	125350117
4	125588474	126642515
4	133636261	133991714
5	104447	930361
5	1294501	1957752
5	19542972	20304742
5	35911450	36558778
5	40173421	40579412
5	40798830	41287811
5	51711224	52167023
5	56731943	59686177
5	66499120	66961812
5	82517715	82935949
5	85329337	85821998
5	92291311	93550353
5	99190238	99522169
5	99932917	100997699
5	101746742	102217265
5	102789163	103490136
5	117932992	119179602
6	11514645	12092909
6	20331977	22126507
6	47486825	48019694
6	49547411	50048653
6	63698396	64005303
6	75934975	78632500
6	82709362	83350436
6	96565846	97472820
6	98440305	98970562
6	101048772	102049312
6	103400351	103716057
6	103716099	107178246
6	107522392	108058819
6	110018644	111135838
6	111803555	113208247
6	113208620	113840217
6	113840226	114297772
6	114297910	115318223
7	264994	2225549
7	2312752	6716242
7	6716244	7800546
7	8163217	9339759
7	10011145	10328829
7	10809336	11497322
7	13170536	13512575
7	13512933	14036752
7	14167406	14862855
7	14862870	20337518
7	47325997	47700195
7	48167443	48426907
7	51945740	52519450
7	75025540	76846403
7	76852095	77287590
7	86686128	87455721
7	87965670	88282046
7	105153278	105788477
8	181867	748454
8	3697745	3961735
8	11207911	12162797
8	13763064	14441210
8	14441348	14891221
8	17266164	17713658
8	26666034	27237571
8	28925214	30763698
8	31633938	32389419
8	32389426	34550905
8	34937168	35570822
8	58968800	59445434
8	62383385	62885110
8	98679312	99602659
8	101295022	101547700
9	759980	1238758
9	1238760	2076768
9	3434703	4473760
9	4625624	4858958
9	6291996	6935314
9	7159608	8669724
9	8883939	11785004
9	30053889	30394999
9	57999272	58697722
9	71140349	72002120
9	76108944	78058683
9	84736698	86131463
9	88554474	89144505
10	315015	1735019
10	12252274	12616147
10	12616300	13523678
10	34790266	35298535
10	44431281	44631249
10	44844200	45548775
10	56142505	57024107
10	60109462	60645393
10	61241070	62218527
10	82629002	83017544
10	84943150	85552387
10	87626155	87922258
10	104997112	105714352
11	38034387	38486912
11	38599407	40409119
11	43281645	43775868
11	43978728	44465571
11	45988200	46676877
11	48107115	48443172
11	56563362	57377589
11	57613220	58341107
11	60329349	61132691
11	67491832	68100460
11	81429278	82283199
11	85454330	85617840
11	85656399	86948981
11	89782712	90274745
12	50936	1222894
12	1864734	2282247
12	2942606	4583822
12	4752877	5841529
12	10598474	11262479
12	11822949	12104812
12	18543312	19198303
12	19396019	22486235
12	31101190	31511694
12	35026644	36492370
12	41372865	41772487
