chr	from	to
1	210932	1143866
1	1254909	1634008
1	9327413	9681108
1	17301381	19851513
1	20153661	21171068
1	21654277	21875329
1	24859008	28599031
1	28926896	29506826
1	33413502	33988581
1	38956518	43817262
1	44400326	44934973
1	48082660	49610136
1	49751609	50116654
1	50116747	50503563
1	50503719	51967889
1	52870666	54036752
1	54036757	54419511
1	54886912	55238510
1	55469166	55708488
1	55708570	56225239
1	57356171	58193099
1	58570122	59957038
1	61857732	62250224
1	64202253	64865547
1	68068130	69658697
1	71894789	72562341
1	74443876	74957076
1	76635174	77083703
1	86422741	91867220
1	92228834	92950154
1	93208499	96377907
1	111494742	111854542
1	112761040	115393255
1	132811027	133332270
1	134056232	134396611
1	138795911	145620693
1	152568347	156058698
1	159585415	159947263
1	160612858	161372712
1	166836186	167391498
1	171738523	172218232
1	172218357	172757125
1	172860549	173399036
1	181988199	182736363
1	190167466	190502302
1	192804511	193618468
1	205603924	206475706
2	54663	3606480
2	4735568	6012657
2	21033250	21893691
2	28846713	29359012
2	30555295	30812796
2	49363148	49732072
2	52655693	53147930
2	86956935	87482757
2	88690459	89248282
2	90491873	91154779
2	115330551	115734782
2	122201212	122748791
2	128824041	130418703
2	132261923	132946003
2	132946064	133837634
2	137276153	137855952
2	147015973	147393893
2	154864492	155913013
2	156056398	157694183
2	158966177	164591790
2	165432661	165900266
2	190255380	192704791
2	194217779	196257113
2	196764336	198552441
2	200940391	201360775
2	201810238	202193859
2	208883548	209197771
2	216366250	216904976
2	222919963	223549977
2	234680727	235033697
3	376189	1926202
3	2724410	3500595
3	3749902	4338486
3	5120218	5357481
3	13889439	14495901
3	14496120	16103659
3	16386635	16911001
3	16965595	17056995
3	17530189	19025405
3	19109389	19738533
3	23680991	24008871
3	37531660	37983837
3	49438056	49823974
3	56374190	56790074
3	57585495	58371621
3	59098543	59514014
3	59514044	60210446
3	69449413	70599116
3	73337143	73682738
3	78090783	78871679
3	96947440	98368458
3	108399596	109602706
3	110016516	110804340
3	110804582	111400862
3	111401880	112012060
3	114353571	114509126
3	120149325	121592743
3	122425064	122824961
3	125552758	126862485
3	127767055	128258841
4	1485857	2294466
4	2295091	3705039
4	10646576	11536167
4	11896808	12300725
4	14029862	14441685
4	19886688	20765655
4	21863119	22301316
4	22301336	22876100
4	33631940	34094530
4	36201999	36701486
4	51731458	52293145
4	54937381	55824574
4	68531146	69126262
4	70781193	71639261
4	74588155	74888758
4	76960905	77454892
4	79480537	79844163
4	89414328	89736766
4	97070127	97501529
4	107763825	108353742
4	114430327	114898099
4	120221314	122122410
4	122122538	123011445
4	124276777	125350117
4	125588474	126642515
4	133447205	133809182
5	104447	930361
5	1294501	1957752
5	19542972	20304742
5	35911450	36558778
5	40173421	40579412
5	40798830	41287811
5	51711224	52311250
5	56731943	59686177
5	66499120	66961812
5	82517715	83119186
5	86016720	86443661
5	92487225	93550353
5	99932917	100997699
5	101746742	102217265
5	117932992	119179602
6	10505086	11514594
6	11514645	12092909
6	20331977	22126507
6	63698396	64005303
6	75934975	78632500
6	82709362	83350436
6	96565846	97472820
6	98440305	98970562
6	101048772	102049312
6	103400351	106826793
6	113433992	113840217
6	114083215	114297772
6	114297910	115156696
7	264994	2225549
7	2312752	2890538
7	7027812	7604096
7	8163217	9339759
7	10011145	10328829
7	13170536	13608208
7	13690615	14036752
7	14167406	14862855
7	14862870	20337518
7	27421458	27694958
7	47325997	47700195
7	48167443	48426907
7	51945740	52519450
7	66035100	66470499
7	75025540	76846403
7	76852095	77287590
7	86686128	87455721
7	87753253	88282046
7	105153278	105788477
8	181867	748454
8	3697745	3961735
8	8320488	8597541
8	11207911	12162797
8	13763064	14441210
8	14441348	14891221
8	17266164	17713658
8	26666034	27237571
8	28925214	30763698
8	32389426	34550905
8	34937168	35570822
8	50756778	51415647
8	58968800	59445434
8	98679312	99602659
8	101295022	101547700
9	759980	1238758
9	1238760	2076768
9	3434703	4473760
9	4625624	4858958
9	6291996	6935314
9	7159608	8669724
9	8883939	11785004
9	12436008	12487080
9	15237345	15609139
9	30053889	30394999
9	30395001	30685844
9	57999272	58697722
9	76108944	78058683
9	79246869	79571108
9	84736698	86131463
9	88554474	89144505
10	315015	1735019
10	12252274	12616147
10	36613989	37373115
10	44431281	44631249
10	44844200	45548775
10	56142505	57024107
10	61241070	62218527
10	82629002	83017544
10	84943150	85552387
10	87626155	87922258
10	88055677	88620330
10	92888433	93162021
10	104997112	105714352
11	38034387	38599391
11	38599407	40409119
11	43281645	43775868
11	43776100	44465571
11	45988200	46676877
11	48107115	48443172
11	56563362	57377589
11	57613220	58341107
11	60329349	61132691
11	67491832	68100460
11	81429278	82283199
11	85454330	86274795
11	89782712	90274745
12	50936	1222894
12	1864734	2282247
12	2942606	4752874
12	4752877	5841529
12	10598474	11262479
12	18543312	19198303
12	19396019	22486235
12	31101190	31511694
12	35026644	36672267
12	49212029	50000805
13	13175497	13714176
13	22673203	22910106
13	33481550	34301819
13	34301886	34758800
13	89490629	89931887
13	89983060	90644819
13	91367415	91811916
13	100217371	100649289
14	480106	1012524
14	1012992	1203971
14	1451545	2038202
14	5604961	6061394
14	6061398	6530271
14	6654855	6850290
14	15389889	16617356
14	21505794	22060791
14	22060846	22409003
14	22977385	23334817
14	40633914	41055315
14	46800767	47703619
14	47955121	49324394
